name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population,url,terrain2,color
Alderaan,24,364,12500,temperate,1 standard,"grasslands, mountains",40,2000000000,2,grass,#7cfc00
Yavin IV,24,4818,10200,"temperate, tropical",1 standard,"jungle, rainforests",8,1000,3,jungle,#29ab87
Hoth,23,549,7200,frozen,1.1 standard,"tundra, ice caves, mountain ranges",100,NA,4,tundra,#dde7f2
Dagobah,23,341,8900,murky,N/A,"swamp, jungles",8,NA,5,swamp,#A3AE7E
Bespin,12,5110,118000,temperate,"1.5 (surface), 1 standard (Cloud City)",gas giant,0,6000000,6,gas giant,#B45C3D
Endor,18,402,4900,temperate,0.85 standard,"forests, mountains, lakes",8,30000000,7,forest,#228b22
Naboo,26,312,12120,temperate,1 standard,"grassy hills, swamps, forests, mountains",12,4500000000,8,grass,#7cfc00
Coruscant,24,368,12240,temperate,1 standard,"cityscape, mountains",NA,1000000000000,9,city,#8d8d8d
Kamino,27,463,19720,temperate,1 standard,ocean,100,1000000000,10,ocean,#0077be
Geonosis,30,256,11370,"temperate, arid",0.9 standard,"rock, desert, mountain, barren",5,100000000000,11,rock,#808487
Utapau,27,351,12900,"temperate, arid, windy",1 standard,"scrublands, savanna, canyons, sinkholes",0.9,95000000,12,scrubland,#aab5a8
Mustafar,36,412,4200,hot,1 standard,"volcanoes, lava rivers, mountains, caves",0,20000,13,volcanoe,#CF1020
Kashyyyk,26,381,12765,tropical,1 standard,"jungle, forests, lakes, rivers",60,45000000,14,jungle,#29ab87
Polis Massa,24,590,0,artificial temperate ,0.56 standard,airless asteroid,0,1000000,15,airless asteroid,#5f4e43
Mygeeto,12,167,10088,frigid,1 standard,"glaciers, mountains, ice canyons",NA,19000000,16,glacier,#aad3e9
Felucia,34,231,9100,"hot, humid",0.75 standard,fungus forests,NA,8500000,17,forest,#228b22
Cato Neimoidia,25,278,0,"temperate, moist",1 standard,"mountains, fields, forests, rock arches",NA,10000000,18,mountain,#977c53
Saleucami,26,392,14920,hot,NA,"caves, desert, mountains, volcanoes",NA,1400000000,19,cave,#13120e
Stewjon,NA,NA,0,temperate,1 standard,grass,NA,NA,20,grass,#7cfc00
Eriadu,24,360,13490,polluted,1 standard,cityscape,NA,22000000000,21,city,#8d8d8d
Corellia,25,329,11000,temperate,1 standard,"plains, urban, hills, forests",70,3000000000,22,plain,#c2a685
Rodia,29,305,7549,hot,1 standard,"jungles, oceans, urban, swamps",60,1300000000,23,jungle,#29ab87
Nal Hutta,87,413,12150,temperate,1 standard,"urban, oceans, swamps, bogs",NA,7000000000,24,urban,#55636d
Dantooine,25,378,9830,temperate,1 standard,"oceans, savannas, mountains, grasslands",NA,1000,25,ocean,#0077be
